authors,docId,docLabel,docTitle,docType,doi,href,publicationDate,publisher,resolvedHref,status.active,referencedBy,docDependancy,currentStatus,details,abstract,abbrevTitle,articleType,copyright.holder,copyright.year,issn.print,number,pages,publisherLocation.city,volume,docTypeAbr,references.bibliographic,references.normative,referencesResolved.bibliographic,referencesResolved.normative,referenceTree,contentType,journalAcronym,keywords,publisherLocation.country,revisionOf,status.stabilized,status.latestVersion,msiLatestAny,msiLatestBase,isLatestAny,docBase,docBaseLabel,isLatestBase,__isNewestInBase,docVersion,status.superseded,status.supersededBy,status.amended,status.amendedBy,status.reaffirmed,docSuiteTitle,group,status.draft,status.unknown,status.withdrawn,status.stabilizedDate,status.statusNote,status.supersededDate,status.versionless,status.amendedDate,docNumber,docPart,status.withdrawnDate,isbn,status.errataExist,repo,relatedDocs,status.reaffirmDate,issn,status.errataUrl,status.supersedes,status.amends,releaseTag,status.state,status.stage,approvalDate,icsCodes,productNumber,standardId,familyId,status.withdrawnNotice,depositDate,currentWork,docElement,status.supersededByr,xmlNamespace
"[""G. G. Popovici""]",10.5594-J10123,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",Background Projection for Process Cinematography,Journal Article,10.5594/J10123,https://doi.org/10.5594/J10123,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A process of background projection is described employing a side-guided projector, and a cut-out in the gate permitting images of the edge of the running film and two film perforations to be projected upon the screen simultaneously with the image of the picture, so as to check the steadiness of the picture. Screen illumination requirements, effects of film shrinkage, and pilot-pin registration are discussed.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,102–109,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. J. Buttolph""]",10.5594-J10124,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",High-Intensity Mercury and Sodium Arc Lamps,Journal Article,10.5594/J10124,https://doi.org/10.5594/J10124,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Characteristics of the sodium and high-intensity mercury arcs of interest to motion picture engineers are discussed, including starting, stability, regulation, power-factor, and multiple and series operation. Energy distribution as related to the sensitivity curves of photographic emulsions and to the use of filters is shown by graphs. Methods of controlling the light distribution and intensity are explained.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,110–120,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A. L. Williams""]",10.5594-J10125,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",Piezoelectric Loud Speakers,Journal Article,10.5594/J10125,https://doi.org/10.5594/J10125,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Recent progress in piezoelectric loud speakers for theater use, including a new unit for upper registers, is described. Frequency-response characteristics of this unit alone and in combination are discussed and demonstrated. The character of the load upon the output circuit, and its effect upon the efficiency and the production of satisfactory response in the low and high registers, are discussed.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,121–125,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""J. D. Edwards""]",10.5594-J10126,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",Reflecting Surfaces of Aluminum,Journal Article,10.5594/J10126,https://doi.org/10.5594/J10126,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Aluminum is inherently a good reflector of radiation in the ultraviolet, visible, and infra-red portions of the spectrum. Means of developing and maintaining this high reflectivity in commercial reflectors are described. The new Alzak process of electrolytic brightening and oxide coating makes available aluminum reflectors, both specular and diffuse, having reflection factors up to about 85 per cent. The Alzak reflectors have a hard, abrasion resisting coating of clear transparent aluminum oxide on the surface which makes them weather-resistant and easily cleaned.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,126–132,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""H. A. Pidgeon""]",10.5594-J10127,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",Simple Theory of the Three-Electrode Vacuum Tube,Journal Article,10.5594/J10127,https://doi.org/10.5594/J10127,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The physical principles upon which the operation of the three-element vacuum tube depends are presented in simple form and the terms usually applied to the tube, its operation as an amplifier, and a simple approximate method for computing the power output and percentage of distortion are explained. No new material is presented in the paper although some of it is presented from a somewhat different point of view from that usually found in the literature. An effort has been made to present in reasonably compact form the essential features of the subject most useful to engineers interested in vacuum-tube applications. The subjects discussed include: the portion of electron theory upon which the fundamental principles of vacuum-tube operation are based; space charge, the three-halves power law, temperature and voltage saturation; characteristics of the three-element tube; definition and physical significance of the terms plate resistance, transconductance, and amplification factor; dynamic characteristics, power output, and distortion; various means of coupling the vacuum tube to its associated circuits; and means for testing vacuum tubes for adequate thermionic emission.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,133–174,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""W. B. Cook""]",10.5594-J10128,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",The 16-mm. Sound-Film Outlook,Journal Article,10.5594/J10128,https://doi.org/10.5594/J10128,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"After pointing out that the original difficulties in developing 16-mm. sound-film seemed only to spur the engineers to accomplish their solutions, it is shown how today a program of eight full reels of sound-film can be projected with quality exceeding that of 35-mm. quality at a corresponding stage of its development. The shortage of sound-film subjects that hampered the distribution of 16-mm. equipment is rapidly being relieved, and interest in the industrial and institutional uses of sound film are growing. Future progress depends upon the equipment manufacturers; the film problems have been solved. Projectors must be made simple to operate, the frequency response must be broadened, they must operate silently; and, most important of all, their ultimate success will depend upon the cost of equipment and film service.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,175–179,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. L. Eich""]",10.5594-J10129,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",A Physical Densitometer for Sound Processing Laboratories,Journal Article,10.5594/J10129,https://doi.org/10.5594/J10129,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A simple densitometer for use in sound processing laboratories is described, employing the Weston photronic cell and a 50-cp., 12-v. lamp. The cell current is measured by a microammeter, suitably damped. The instrument retains its calibration well, densities can be measured within 0.005, and readings are consistently duplicated.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,180–183,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J10130,"Journal of the Society of Motion Picture Engineers ( Volume: 24, Issue: 2, February 1935)",Society Announcements: Board of Governors,Journal Article,10.5594/J10130,https://doi.org/10.5594/J10130,1935-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPE,other,"Society of Motion Picture and Television Engineers, Inc.",1935,0097-5834,2,184–185,"White Plains, NY",24,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Peter A. Snell""]",10.5594-J10131,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",An Introduction to the Experimental Study of Visual Fatigue,Journal Article,10.5594/J10131,https://doi.org/10.5594/J10131,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Previous work has shown that fatigue of the visual process as a whole is not directly measurable; it is therefore necessary to adopt the alternative method of studying the individual processes involved in vision. An analysis of the studies so far made on these unit functions shows that the motor processes involved are not readily fatigued; ineffective activity of these processes, however, rapidly leads to sensations of fatigue. This activity results from inadequate sensory projection, whether the inadequacy is a result of difficult external seeing conditions or of decreased efficiency of the retinal processes. Experiments were performed which showed that: (1) the effective intensity of a given stimulus was affected considerably by the previous activity of the retina; (2) contrasts, and especially flicker, produced a marked retinal fatigue; (3) the site of this fatigue lay in the retinal structures behind the sense endings rather than in the sense endings themselves. It is concluded that retinal fatigue contributes a larger factor to visual fatigue than has hitherto been supposed; as long as the visual task is such that the factors producing a decrease in retinal efficiency are minimal, as is not usually the case in viewing the motion picture, visual fatigue will not supervene with unusual rapidity.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,367–390,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. H. Richardson""]",10.5594-J10132,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",Avoidance of Eye Fatigue,Journal Article,10.5594/J10132,https://doi.org/10.5594/J10132,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The author discusses various defects in the production and projection of motion pictures, upon which the occurrence of ocular fatigue is assumed to depend. Remedies for these defects are suggested and the effect upon the patronage of a theater by the failure to apply the remedies is noted.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,391–395,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Sidney Read""]",10.5594-J10133,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",RCA Victor High Fidelity Film Recording Equipment,Journal Article,10.5594/J10133,https://doi.org/10.5594/J10133,1933-05-01,SMPTE,https://journal.smpte.org/periodicals/Journal%20of%20the%20Society%20of%20Motion%20Picture%20Engineers/20/5/7/,true,"[""10.5594-J05391""]",true,Active,need to add references,undefined,undefined,undefined,null,null,null,undefined,undefined,null,undefined,,"[""10.5594-J05467"",""10.5594-J05608"",""10.5594-J10122""]",[],"[{""id"":""10.5594-J05467""},{""id"":""10.5594-J05608""},{""id"":""10.5594-J10122""}]",[],"[""10.5594-J05467"",""10.5594-J05482"",""10.5594-J05608"",""10.5594-J06591"",""10.5594-J07431"",""10.5594-J07506"",""10.5594-J07507"",""10.5594-J10122"",""10.5594-J10149"",""10.5594-J10150"",""10.5594-J12978"",""10.5594-J12979"",""10.5594-J13050"",""10.5594-J13051""]",undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""A. T. Stoyanowsky""]",10.5594-J10134,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",A New Process of Television Out of Doors,Journal Article,10.5594/J10134,https://doi.org/10.5594/J10134,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The problems involved in the transmission of motion pictures by television are, in general, less difficult to solve in certain respects than the problems in the television transmission of living subjects or objects in studios and, above all, out of doors. In the following article, a description is given of an interesting invention that changes the problems of television out of doors into corresponding problems of motion pictures by television.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,437–443,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J10135,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",Book Reviews,Journal Article,10.5594/J10135,https://doi.org/10.5594/J10135,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPE,book-review,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,444–445,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J10136,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",Officers,Journal Article,10.5594/J10136,https://doi.org/10.5594/J10136,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPE,other,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,446–446,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J10137,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",Committees,Journal Article,10.5594/J10137,https://doi.org/10.5594/J10137,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPE,other,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,447–449,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J10138,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 5, May 1933)",Society Announcements,Journal Article,10.5594/J10138,https://doi.org/10.5594/J10138,1933-05-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPE,other,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,5,450–455,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""H. D. Hineline""]",10.5594-J10139,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",Composite Photographic Processes,Journal Article,10.5594/J10139,https://doi.org/10.5594/J10139,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The author traces in this paper the development of composite photographic processes, in terms of the patent history of the art, from its beginning to April 1, 1932. For convenience, the art is divided into three phases, namely: the mask process, the projection process, and the color-separation process. Each of these lines has evolved into several variants, the development of which is traced through the patent literature.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,283–300,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. Weil""]",10.5594-J10140,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",The Optical-Photographic Principles of the Agfacolor Process,Journal Article,10.5594/J10140,https://doi.org/10.5594/J10140,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The physical and photographic properties of the lenticular screen process of producing motion pictures in color, as developed by Berthon, and later known under the name Keller-Dorian and commercialized in the 16-mm. field under the name Kodacolor, are briefly described. The author traces the development of the process from the earlier mosaic screen process, and after giving consideration to the technical problems involved, indicates that the situation obtaining at present may be regarded as one stage of a development leading up to the application of the lenticular screen process to the 35-mm. field as well as the 16-mm. field.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,301–308,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""William Garity""]",10.5594-J10141,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",The Production of Animated Cartoons,Journal Article,10.5594/J10141,https://doi.org/10.5594/J10141,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"This paper describes the general procedure employed in producing animated cartoons, particularly the technic employed by the Walt Disney Studios. The qualities required in the animators, and the problems that these animators must solve in realizing the dramatic situations and synchronizing them with the music and sound effects are discussed. An example of the procedure followed in producing the cartoon is given, including illustrations of the layout sheet, exposure sheet, and camera field charts.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,309–322,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""W. Herriott""]",10.5594-J10142,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",A Method of Measuring Axial Chromatic Aberration in an Objective Lens,Journal Article,10.5594/J10142,https://doi.org/10.5594/J10142,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A method of measuring axial chromatic aberration is described in which an image of a line grating test object illuminated by a monochromator is formed by the lens under test. The image thus formed is projected onto a steeply inclined photographic plate by means of a highly corrected microscope objective. Individual exposures are made at selected wavelengths and a curve showing the change of image, position as a function of wavelength for the lens under test is readily derived from measurement of the developed plate. Data are given showing the order of agreement attained between computed values of axial chromatic aberration and values obtained by this method.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,323–331,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""C. H. Fetter""]",10.5594-J10143,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",A New Way of Splitting Seconds,Journal Article,10.5594/J10143,https://doi.org/10.5594/J10143,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"In timing races by the usual method employing a manually operated stop-watch, errors are liable to arise independently of the accuracy of the timepiece. In order to eliminate this cause of error, a system of timing races has been devised employing a motion picture camera, with which are photographed a very accurately adjusted chronometer at both the beginning and the end of the race, and the contestants themselves at the finish line. This system has been applied successfully at recent important athletic meets held in the U. S.; particularly at the Xth Olympiad held at Los Angeles in 1932.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,332–342,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Alan M. Gundelfinger""]",10.5594-J10144,"Journal of the Society of Motion Picture Engineers ( Volume: 20, Issue: 4, April 1933)",A Method for the Calculation of the Correct and Most Economical Concentrations of Elon and Hydroquinone in a Borax Developer for Motion Picture Film,Journal Article,10.5594/J10144,https://doi.org/10.5594/J10144,1933-04-01,SMPTE,undefined,true,undefined,false,Active,undefined,"Holding temperature, developing time, and agitation constant, the following relations exist: (1) In an elon-borax-sulfite developer, sulfite held constant and borax varied with the elon, γ = K log E + C, where E = elon conc. and K and C = constants: (2) In an elon-hydroquinone-borax-sulfite developer, hydroquinone and sulfite held constant and borax varied with the elon, γ = K log E + C, where E = elon conc. and K and C = constants: (3) In an elon-hydroquinone-borax-sulfite developer, elon, borax, and sulfite held constant, γ = K log H + C, where H = hydroquinone conc. and K and C = constants: (4) In an elon-hydroquinone-borax-sulfite developer, sulfite held constant and borax varied with the elon, γ = K1 log E + K2(log E)(log H) + K3 log H + K4, where E = elon conc., H = hydroquinone conc., and K1, K2, K3, K4 = constants: (5) In an elon-hydroquinone-borax-sulfite developer, γ and sulfite held constant, and borax varied with the elon, there exist optimum concentrations of elon and hydroquinone for maximum economy.",J SMPE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1933,0097-5834,4,343–354,"White Plains, NY",20,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0097-5834""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
